S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amounts,Max Price,Min Price,Close Price
1,11/5/2019,55,12478,5166249,416,413,416
2,11/4/2019,59,13907,5720752,414,410,413
3,11/3/2019,48,4909,2018398,413,410,412
4,10/31/2019,41,4949,2045232,417,410,413
5,10/24/2019,52,9027,3743021,416,412,414
6,10/23/2019,26,2992,1233519,416,411,413
7,10/22/2019,61,7228,2965213,413,409,411
8,10/21/2019,76,13609,5614798,415,411,412
9,10/20/2019,63,11108,4588978,414,411,413
10,10/17/2019,53,15319,6348448,416,412,414
11,10/16/2019,24,10681,4403933,415,412,414
12,10/15/2019,55,34190,14041612,416,410,413
13,10/14/2019,52,15531,6379450,415,409,410
14,10/10/2019,8,1419,588663,415,412,415
15,10/3/2019,22,3319,1382343,418,415,416
16,10/2/2019,28,3711,1533696,417,411,411
17,10/1/2019,40,11045,4591929,418,412,417
18,9/30/2019,48,9318,3850246,415,411,415
19,9/29/2019,80,23666,9660085,418,407,418
20,9/26/2019,76,13312,5460769,412,409,410
21,9/25/2019,59,11862,4876167,412,407,412
22,9/24/2019,57,8687,3571382,412,410,412
23,9/23/2019,66,17256,7132413,415,412,414
24,9/22/2019,59,14749,6101767,415,412,414
25,9/19/2019,169,22965,9616457,425,413,413
26,9/18/2019,114,28150,11843459,423,419,423
27,9/17/2019,107,22549,9341043,418,410,418
28,9/16/2019,102,23477,9632318,414,408,408
29,9/15/2019,79,18691,7745284,418,413,413
30,9/12/2019,86,27640,11560120,420,416,416
31,9/11/2019,59,22008,9201997,420,416,418
32,9/10/2019,86,21628,9039366,419,416,418
33,9/10/2019,86,21628,9039366,419,416,418
34,9/9/2019,78,19723,8242341,425,416,418
35,9/8/2019,72,8733,3685227,427,421,422
36,9/5/2019,71,15371,6543883,427,425,425
37,9/4/2019,102,22525,9586617,429,420,426
38,9/3/2019,113,36698,15343752,426,412,424
39,9/2/2019,164,43531,18214197,424,414,417
40,9/1/2019,76,17893,7593805,428,421,421
41,8/29/2019,93,11405,4854431,427,423,426
42,8/28/2019,103,21023,8939417,427,424,425
43,8/27/2019,70,14181,6053544,429,424,426
44,8/26/2019,79,16088,6848352,430,425,425
45,8/25/2019,80,20297,8636520,427,423,427
46,8/22/2019,102,28290,12073166,430,425,428
47,8/21/2019,91,20878,8931846,430,425,429
48,8/20/2019,88,17383,7450235,432,427,427
49,8/19/2019,149,38717,16664649,434,429,431
50,8/18/2019,107,36698,15791949,433,429,430
51,8/15/2019,71,36318,15617733,433,425,430
