S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amounts,Max Price,Min Price,Close Price
1,11/5/2019,2,40,3860,97,96,97
2,11/4/2019,29,10089,951954,97,94,95
3,11/3/2019,1,50,4900,98,98,98
4,10/31/2019,9,1084,107696,102,98,99
5,10/24/2019,13,670,68725,104,96,104
6,10/23/2019,7,1551,147405,96,95,96
7,10/22/2019,6,3393,321814,96,93,95
8,10/21/2019,13,3897,366378,95,94,94
9,10/20/2019,22,7819,732193,95,93,93
10,10/17/2019,11,4385,419000,97,95,96
11,10/16/2019,5,450,43820,98,96,96
12,10/15/2019,1,72,7056,98,98,98
13,10/14/2019,4,254,24261,97,94,97
14,10/10/2019,3,2000,188050,95,94,94
15,10/3/2019,20,9200,888600,98,94,94
16,10/2/2019,4,1100,106800,98,97,98
17,10/1/2019,8,2369,226610,97,95,97
18,9/30/2019,16,3352,317863,95,94,94
19,9/29/2019,3,28969,2752165,96,95,96
20,9/26/2019,22,6706,640511,96,95,95
21,9/25/2019,9,1445,139119,97,96,96
22,9/24/2019,8,2939,283644,97,96,97
23,9/23/2019,7,4308,416568,97,96,96
24,9/22/2019,18,4978,480736,98,96,96
25,9/19/2019,17,8258,813100,102,98,98
26,9/18/2019,29,11110,1102706,102,98,102
27,9/17/2019,30,7737,764758,102,96,99
28,9/16/2019,19,8030,760806,95,94,95
29,9/15/2019,37,10249,982331,97,94,94
30,9/12/2019,27,13455,1306165,108,96,96
31,9/11/2019,23,7866,774098,104,96,103
32,9/10/2019,16,4758,462857,99,97,99
33,9/10/2019,16,4758,462857,99,97,99
34,9/9/2019,11,2432,240621,99,98,98
35,9/8/2019,7,2310,228850,100,99,99
36,9/5/2019,7,1000,99055,100,99,99
37,9/4/2019,12,2835,283797,102,99,101
38,9/3/2019,33,9208,911194,102,98,101
39,9/2/2019,5,609,60751,100,99,100
40,9/1/2019,19,10384,1030588,100,98,100
41,8/29/2019,16,8025,804800,101,100,100
42,8/28/2019,13,5672,568317,101,100,101
43,8/27/2019,12,2522,252712,102,100,101
44,8/26/2019,14,3710,372300,101,100,100
45,8/25/2019,15,2979,301289,103,101,101
46,8/22/2019,11,3050,308350,103,101,103
47,8/21/2019,2,242,24442,101,101,101
48,8/20/2019,3,1610,164220,102,102,102
49,8/19/2019,22,5229,534024,104,101,102
50,8/18/2019,15,6153,629400,104,101,101
51,8/15/2019,8,1700,175300,105,103,103
