S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amounts,Max Price,Min Price,Close Price
1,11/5/2019,50,558,229706,419,407,419
2,11/4/2019,36,360,147140,415,408,408
3,11/3/2019,47,590,242130,420,408,411
4,10/31/2019,29,350,142540,413,405,407
5,10/24/2019,40,920,375085,414,406,408
6,10/23/2019,32,450,182260,411,397,411
7,10/22/2019,36,440,179890,412,408,408
8,10/21/2019,36,440,181150,419,408,415
9,10/20/2019,25,250,102590,414,405,414
10,10/17/2019,37,370,152740,416,406,416
11,10/16/2019,35,860,349750,416,405,414
12,10/15/2019,16,160,65220,410,402,408
13,10/14/2019,42,420,171200,410,405,407
14,10/10/2019,5,50,20570,415,410,410
15,10/3/2019,11,430,178090,416,408,415
16,10/2/2019,18,190,78460,416,409,413
17,10/1/2019,26,490,204080,423,409,415
18,9/30/2019,24,570,234560,425,401,411
19,9/29/2019,48,490,200490,414,401,408
20,9/26/2019,94,1040,426090,414,407,407
21,9/25/2019,91,1150,474150,417,408,412
22,9/24/2019,83,830,341940,415,410,412
23,9/23/2019,92,1080,446350,422,410,410
24,9/22/2019,172,1730,720510,428,410,414
25,9/19/2019,110,2192,933322,438,421,428
26,9/18/2019,78,1270,546330,442,423,430
27,9/17/2019,123,2675,1130565,435,411,427
28,9/16/2019,165,2020,835890,427,409,419
29,9/15/2019,167,2430,1028060,437,419,419
30,9/12/2019,205,4610,2030950,461,435,442
31,9/11/2019,240,3300,1503040,475,451,452
32,9/10/2019,762,8765,4060301,472,458,466
33,9/10/2019,762,8765,4060301,472,458,466
34,9/9/2019,1906,22021,10351198,488,455,467
35,9/8/2019,37,460,203440,444,412,444
36,9/5/2019,6,60,23490,404,375,404
37,9/3/2019,6,140,49780,368,348,368
38,9/2/2019,2,20,6780,342,336,342
39,9/1/2019,2,20,6540,330,324,330
40,8/29/2019,1,10,3180,318,318,318
41,8/28/2019,2,20,6180,312,306,312
42,8/27/2019,7,70,20400,300,278,300
43,8/26/2019,3,30,8040,273,263,273
