S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amounts,Max Price,Min Price,Close Price
1,11/5/2019,10,300,15920,54,53,53
2,11/4/2019,9,140,7570,55,53,55
3,11/3/2019,51,1033,55496,56,52,54
4,10/31/2019,12,240,13420,57,54,57
5,10/24/2019,22,961,50713,53,52,53
6,10/23/2019,97,1550,83670,55,53,53
7,10/22/2019,10,220,11780,54,53,54
8,10/21/2019,14,330,17585,55,53,54
9,10/20/2019,18,270,14620,55,54,54
10,10/17/2019,6,1520,83620,56,55,56
11,10/16/2019,6,90,5020,56,55,56
12,10/15/2019,5,640,35200,55,55,55
13,10/14/2019,10,325,18100,56,54,56
14,10/10/2019,4,50,2700,54,54,54
15,10/3/2019,1,10,550,55,55,55
16,10/2/2019,8,110,6070,56,54,56
17,10/1/2019,9,140,7470,54,53,53
18,9/30/2019,44,640,34250,55,53,53
19,9/29/2019,13,180,9710,55,52,55
20,9/26/2019,39,550,29130,55,52,53
21,9/25/2019,32,660,36820,57,55,55
22,9/24/2019,24,360,19620,55,52,55
23,9/23/2019,12,195,10880,57,55,56
24,9/22/2019,10,384,22412,59,58,58
25,9/19/2019,20,300,16900,59,54,59
26,9/18/2019,14,825,45690,57,52,56
27,9/17/2019,14,210,11300,56,53,53
28,9/16/2019,16,380,20930,56,53,56
29,9/15/2019,13,220,12120,57,53,56
30,9/12/2019,19,290,16830,60,57,58
31,9/11/2019,10,120,6960,59,57,58
32,9/10/2019,7,421,24819,60,57,59
33,9/10/2019,7,421,24819,60,57,59
34,9/9/2019,8,120,6840,58,56,58
35,9/8/2019,28,660,37840,59,56,57
36,9/5/2019,22,1370,83740,62,60,60
37,9/4/2019,27,630,38290,62,58,61
38,9/3/2019,24,350,20740,60,59,59
39,9/2/2019,26,380,23120,62,60,60
40,9/1/2019,20,925,56515,62,61,61
41,8/29/2019,12,200,12450,63,62,62
42,8/28/2019,18,960,60420,64,62,62
43,8/27/2019,21,360,22740,64,63,64
44,8/26/2019,15,220,14160,66,63,63
45,8/25/2019,19,800,53010,67,63,67
46,8/22/2019,30,940,61520,68,64,67
47,8/21/2019,41,660,43220,67,65,66
48,8/20/2019,12,210,13730,66,65,66
49,8/19/2019,31,490,32110,66,65,66
50,8/18/2019,38,550,35930,67,65,66
51,8/15/2019,60,910,60870,68,66,66
