S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amounts,Max Price,Min Price,Close Price
1,11/5/2019,30,1825,234418,130,127,129
2,11/4/2019,32,4854,624358,130,126,129
3,11/3/2019,17,869,112768,131,128,130
4,10/31/2019,13,753,96700,131,127,129
5,10/24/2019,10,1460,194890,138,130,130
6,10/23/2019,19,1387,184848,138,132,138
7,10/22/2019,14,383,51443,137,133,137
8,10/21/2019,8,815,108916,134,132,134
9,10/20/2019,7,175,23624,136,133,134
10,10/17/2019,12,2260,305193,137,132,134
11,10/16/2019,1,13,1742,134,134,134
12,10/15/2019,14,2025,273505,136,134,136
13,10/14/2019,11,289,39570,142,134,134
14,10/10/2019,6,1290,177400,142,132,142
15,10/3/2019,9,354,48384,140,136,140
16,10/2/2019,1,10,1380,138,138,138
17,10/1/2019,7,1730,240783,140,138,139
18,9/30/2019,13,1591,214152,140,133,140
19,9/29/2019,14,1845,246328,135,129,135
20,9/26/2019,14,666,86993,135,129,135
21,9/25/2019,6,947,124027,133,130,133
22,9/24/2019,10,500,65195,131,130,130
23,9/23/2019,22,2356,306374,133,129,131
24,9/22/2019,12,245,32342,133,131,132
25,9/19/2019,23,1581,216633,140,133,133
26,9/18/2019,24,3059,432427,143,135,141
27,9/17/2019,27,6130,830202,141,132,141
28,9/16/2019,51,12722,1682671,135,129,130
29,9/15/2019,39,3744,493390,135,127,134
30,9/12/2019,37,11208,1532620,151,135,137
31,9/11/2019,16,653,91473,144,139,144
32,9/10/2019,33,7880,1105042,144,138,140
33,9/10/2019,33,7880,1105042,144,138,140
34,9/9/2019,14,2520,367578,148,144,146
35,9/8/2019,22,2638,390005,150,146,148
36,9/5/2019,28,3387,502264,156,147,148
37,9/4/2019,1,10,1590,159,159,159
38,9/3/2019,30,5658,821285,156,141,156
39,9/2/2019,30,3570,537838,155,147,149
40,9/1/2019,27,5681,870930,155,151,155
41,8/29/2019,15,1057,158684,151,149,151
42,8/28/2019,44,4560,697044,155,150,151
43,8/27/2019,23,2320,359895,157,153,153
44,8/26/2019,17,1176,179144,159,150,159
45,8/25/2019,18,321,49349,156,151,156
46,8/22/2019,38,7328,1140696,159,154,159
47,8/21/2019,31,5578,861568,161,152,161
48,8/20/2019,17,553,86216,158,154,156
49,8/19/2019,27,1918,305843,163,155,163
50,8/18/2019,12,375,59304,161,157,158
51,8/15/2019,13,749,120465,162,160,160
